distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
2958              ,0           ,130               ,0.248564744947387   ,168.104460120255
2957              ,0           ,130               ,3.54558500712284    ,190.925747068824
2956              ,0           ,130               ,4.44714932435085    ,175.851818197952
2955              ,0           ,130               ,3.66465262333331    ,176.313458673299
2954              ,0           ,130               ,0.861423332771977   ,194.541687611027
2953              ,0           ,130               ,-0.374786150912307  ,186.083439847575
2952              ,0           ,130               ,2.678056383193      ,181.052202027201
2951              ,0           ,130               ,4.90037255094737    ,207.867587504641
2950              ,0           ,130               ,4.58183254178947    ,206.666274469388
2949              ,0           ,130               ,5.5790067579298     ,206.23339651745
2948              ,0           ,130               ,4.08787569280705    ,204.598394442103
2947              ,0           ,130               ,2.41526173371928    ,191.202265898221
2946              ,0           ,130               ,5.59787721122811    ,194.321637451289
2945              ,0           ,130               ,3.89030267301753    ,191.300599638862
2944              ,0           ,130               ,1.52441029108765    ,176.121025716112
2943              ,0           ,130               ,-1.62300527389469   ,176.236406810481
2942              ,0           ,130               ,-5.45946659354387   ,169.410603613562
2941              ,0           ,100               ,-3.9424627658246    ,154.483305457225
2940              ,0           ,100               ,-6.88758485842101   ,189.874856748906
2939              ,0           ,100               ,-4.63912146919303   ,180.41010631003
2938              ,0           ,100               ,-0.838127095368378  ,192.214705341841
2937              ,0           ,100               ,-2.96641691266663   ,205.08041541521
2936              ,0           ,100               ,0.400565313473635   ,207.928502405529
2935              ,0           ,100               ,1.10179069596496    ,207.92773748411
2934              ,0           ,100               ,-0.334562713157894  ,191.034016323782
2933              ,0           ,100               ,-0.426219327438631  ,183.231497998871
2932              ,0           ,100               ,2.47719011185968    ,156.550273943337
2931              ,0           ,100               ,2.30608491477189    ,175.066226074317
2930              ,0           ,100               ,1.99861906638597    ,186.570546626547
2929              ,0           ,100               ,3.48146672028069    ,180.443399903749
2928              ,0           ,100               ,1.6473602936843     ,186.20129322382
2927              ,0           ,100               ,-0.0518666536141694 ,181.918572734716
2926              ,0           ,100               ,-0.66634690736835   ,178.629003825964
2925              ,0           ,100               ,-3.51998725708771   ,183.021052546021
2924              ,0           ,100               ,-4.29849338933333   ,183.317310643505
2923              ,0           ,100               ,-2.74161348266671   ,195.526838555383
2922              ,0           ,100               ,-2.59398097529819   ,192.168534605353
